,Tammy Baldwin,Dianne Feinstein,Sheldon Whitehouse,Elizabeth Warren,Bill Nelson,John Thune,Jerry Moran,Johnny Isakson,James Inhofe,James Lankford,David Perdue,Dean Heller,John Boozman,Shelley Capito,Roy Blunt,John Barrasso,Chuck Grassley,James Risch,Cory Gardner,Tim Scott,Todd Young,Rand Paul,Mike Lee,Marco Rubio,Rob Portman,Steve Daines,John Cornyn,Orrin Hatch,Pat Toomey,Ron Johnson,Tom Cotton,Ted Cruz,Claire McCaskill,Thomas Carper,John McCain,Michael Enzi,Jon Tester,Brian Schatz,Tammy Duckworth,Joni Ernst,Ben Sasse,Thom Tillis,Chris Van Hollen,Richard Burr,Joe Manchin,Michael Bennet,Richard Blumenthal,Edward Markey,Christopher Murphy,Kirsten Gillibrand,Robert Menendez,Debbie Stabenow,Ron Wyden,Jeanne Shaheen,Patrick Leahy,Maria Cantwell,Benjamin Cardin,Jeff Merkley,Tom Udall,Al Franken,Christopher Coons,Tim Kaine,Cory Booker,Kamala Harris,Bill Cassidy,Jeff Flake,Mike Crapo,Pat Roberts,Roger Wicker,Deb Fischer,Mike Rounds,Dan Sullivan,John Kennedy,Luther Strange,Cindy Hyde-Smith,Martin Heinrich,Gary Peters,Sherrod Brown,Robert Casey,Richard Durbin,Amy Klobuchar,Patty Murray,Heidi Heitkamp,Tina Smith,Susan Collins,Jeff Sessions,Thad Cochran,Lisa Murkowski,Mitch McConnell,Charles Schumer,Richard Shelby,Mazie Hirono,Bernard Sanders,Angus King,Lindsey Graham,Lamar Alexander,Bob Corker,Jack Reed,Joe Donnelly,Catherine Cortez Masto,John Hoeven,Doug Jones,Mark Warner,Jon Kyl,Maggie Hassan
Tammy Baldwin,0,0,0,0,0,24,49,38,26,18,20,48,56,66,52,21,44,29,48,28,45,12,12,48,51,50,26,34,16,28,26,15,93,97,33,19,0,95,0,46,6,44,0,19,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,17,39,35,46,27,49,38,31,12,14,0,0,0,0,0,0,0,88,0,100,0,30,68,5,80,4,0,0,0,34,22,12,0,84,0,40,51,67,1
Dianne Feinstein,0,0,0,0,92,12,21,24,20,9,14,44,31,45,37,14,53,13,29,20,32,8,9,42,41,24,42,45,12,10,19,22,71,96,20,13,70,85,0,26,2,48,0,19,57,0,100,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,21,17,21,20,31,17,25,31,37,8,9,88,0,0,0,0,0,0,63,87,61,0,20,58,5,81,5,0,0,80,32,18,19,0,47,0,19,38,57,1
Sheldon Whitehouse,0,0,0,0,93,16,27,26,28,9,14,32,37,47,43,15,45,19,26,22,28,6,11,36,42,25,30,35,16,7,21,14,64,99,18,11,68,96,0,33,4,36,0,24,56,0,94,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,95,0,0,31,16,22,24,30,20,32,32,36,7,13,92,99,0,0,0,0,0,64,86,68,0,20,51,6,73,5,0,0,100,38,17,13,0,50,0,24,41,49,0
Elizabeth Warren,0,0,0,0,0,16,36,35,28,16,20,43,46,56,36,11,32,20,38,29,36,12,9,59,43,37,33,32,17,7,35,12,82,0,22,11,0,0,0,33,3,43,0,24,63,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,35,15,29,24,33,21,45,42,37,10,12,0,0,0,0,0,0,0,81,0,98,0,24,72,4,85,4,0,0,0,26,18,13,0,66,0,28,54,68,0
Bill Nelson,0,92,93,0,0,42,40,35,29,15,30,50,45,61,55,14,35,24,41,28,42,6,7,0,38,37,45,33,21,7,30,27,67,72,18,13,77,62,89,34,8,38,97,30,68,0,79,0,0,76,0,0,0,75,0,66,68,95,83,57,58,0,82,98,80,37,19,32,36,42,35,38,38,35,14,19,64,98,0,0,85,0,73,59,60,64,0,24,50,6,60,7,85,61,92,33,16,12,76,62,75,27,50,58,0
John Thune,24,12,16,16,42,0,39,36,41,28,33,29,41,35,54,27,41,32,28,31,28,12,16,41,22,40,39,27,18,20,28,29,27,12,22,30,25,21,19,34,14,34,15,17,25,18,18,27,17,14,18,15,25,13,23,10,24,24,8,14,14,24,12,14,8,34,23,34,51,52,37,58,30,32,20,15,16,24,19,24,10,41,12,26,8,29,0,26,19,8,11,11,13,5,30,26,13,13,10,30,12,37,11,18,0
Jerry Moran,49,21,27,36,40,39,0,49,53,36,40,49,65,53,68,35,46,46,46,35,40,21,22,45,41,50,33,31,25,23,49,32,37,24,25,33,54,25,33,55,25,44,37,24,43,33,39,55,30,29,27,26,43,25,38,20,28,31,22,27,12,45,23,20,19,41,28,46,71,67,52,66,40,43,25,24,25,44,36,39,18,60,21,50,20,48,0,28,32,12,16,13,29,14,58,34,21,17,23,47,24,49,25,28,0
Johnny Isakson,38,24,26,35,35,36,49,0,45,23,51,50,63,48,57,41,46,36,36,42,45,16,20,53,50,47,36,41,25,25,42,26,31,25,25,36,37,15,33,45,18,41,30,21,32,33,35,41,27,27,27,26,40,27,43,18,24,36,27,15,14,49,27,26,16,45,28,37,55,60,39,50,34,43,23,19,17,37,39,44,22,47,26,31,19,49,0,34,35,16,18,16,28,14,45,44,35,25,22,40,21,41,22,28,0
James Inhofe,26,20,28,28,29,41,53,45,0,48,54,50,81,65,73,52,45,50,38,48,46,25,34,70,38,53,61,54,33,38,64,62,29,17,26,36,31,16,32,57,28,54,27,24,37,26,25,34,27,21,24,23,30,24,37,16,20,26,16,21,14,36,19,24,16,41,36,55,58,80,57,71,49,59,38,30,20,34,21,37,14,42,15,33,12,32,1,35,31,17,17,18,20,11,45,36,14,17,14,38,20,44,17,18,0
James Lankford,18,9,9,16,15,28,36,23,48,0,33,23,33,28,44,27,33,34,22,29,27,23,31,45,33,42,39,40,16,30,33,45,22,10,26,31,18,9,10,44,24,37,10,15,16,11,12,16,9,7,12,9,11,9,15,7,8,9,3,8,3,19,9,10,10,27,29,30,38,38,33,41,20,28,22,17,12,15,11,11,7,22,4,26,10,20,1,20,16,12,7,12,7,4,18,22,13,13,4,16,12,29,15,12,0
David Perdue,20,14,14,20,30,33,40,51,54,33,0,43,58,39,48,37,38,46,37,47,41,24,35,66,35,42,50,40,29,35,68,54,18,10,24,30,28,10,18,49,26,48,16,19,28,16,20,25,17,13,18,25,23,10,22,16,10,25,6,5,5,33,28,15,12,34,31,37,46,56,35,61,30,50,32,21,6,25,21,22,15,28,12,18,7,26,0,23,18,16,11,17,15,3,30,37,20,22,9,27,15,34,15,19,0
Dean Heller,48,44,32,43,50,29,49,50,50,23,43,0,64,61,62,40,49,44,54,46,44,19,21,56,48,48,61,58,28,25,44,39,40,21,27,31,62,19,36,46,16,61,37,26,51,46,49,64,30,27,39,44,45,39,49,28,24,32,33,28,22,50,32,29,21,39,33,50,45,57,44,55,49,45,20,21,32,48,51,61,27,64,25,43,17,46,1,28,48,12,22,13,41,19,44,36,19,16,20,49,45,39,24,37,1
John Boozman,56,31,37,46,45,41,65,63,81,33,58,64,0,76,78,53,54,56,49,46,53,24,22,65,46,53,52,49,27,29,77,46,38,24,28,37,61,22,47,57,24,60,46,23,51,38,41,56,41,32,43,40,55,29,49,35,28,47,33,31,28,57,30,36,28,52,30,58,57,84,48,73,48,58,38,30,28,48,49,57,26,66,27,46,21,53,0,46,40,16,24,19,43,19,57,40,26,22,23,54,33,51,21,24,1
Shelley Capito,66,45,47,56,61,35,53,48,65,28,39,61,76,0,79,49,53,38,50,39,51,9,19,62,64,50,49,45,26,24,50,33,51,27,25,28,57,22,43,53,10,50,42,29,86,64,50,65,41,34,53,40,52,32,61,23,29,47,31,31,27,73,44,46,29,48,26,42,47,80,50,61,55,53,25,25,40,51,61,62,31,83,24,50,25,69,1,36,55,13,22,13,34,15,82,36,23,17,26,53,45,45,36,36,1
Roy Blunt,52,37,43,36,55,54,68,57,73,44,48,62,78,79,0,45,57,49,49,55,59,22,28,67,52,63,62,53,34,34,57,55,59,25,31,36,48,19,43,60,27,66,37,32,47,38,47,61,39,29,45,38,52,26,41,32,34,43,30,20,28,64,33,38,27,46,37,50,67,86,64,71,50,66,34,30,31,53,44,53,30,84,23,46,23,59,1,46,43,18,26,14,37,14,54,52,27,22,28,55,34,51,25,34,1
John Barrasso,21,14,15,11,14,27,35,41,52,27,37,40,53,49,45,0,37,47,38,34,34,17,24,38,32,44,34,31,19,33,35,33,15,17,30,59,25,12,15,39,18,36,15,18,29,18,16,19,13,13,13,14,20,10,19,8,11,13,9,14,8,23,10,14,6,27,30,37,39,53,44,42,29,40,22,19,11,20,16,23,7,31,10,30,11,23,1,26,22,14,5,12,14,3,22,24,19,10,9,27,13,41,12,10,0
Chuck Grassley,44,53,45,32,35,41,46,46,45,33,38,49,54,53,57,37,0,35,38,41,41,17,30,58,42,45,59,61,23,29,47,49,43,20,30,33,34,10,26,68,20,64,27,25,37,33,33,62,29,19,34,30,43,22,43,38,22,33,19,20,31,59,20,25,17,46,29,38,57,59,47,45,31,54,21,23,23,36,48,39,43,81,18,34,24,41,1,31,40,15,14,14,32,11,44,34,20,19,24,40,24,41,22,25,0
James Risch,29,13,19,20,24,32,46,36,50,34,46,44,56,38,49,47,35,0,44,39,35,23,36,47,36,57,39,40,22,28,42,39,23,12,28,42,42,11,27,41,25,37,20,20,35,17,34,23,22,14,21,21,27,22,25,15,25,25,19,19,16,32,17,23,14,29,36,93,51,57,48,54,30,46,29,25,26,35,20,24,11,32,19,32,15,30,1,26,29,14,13,14,17,10,34,28,20,14,13,32,17,38,14,13,0
Cory Gardner,48,29,26,38,41,28,46,36,38,22,37,54,49,50,49,38,38,44,0,33,43,16,16,60,43,54,29,35,20,20,36,30,28,18,26,26,53,23,34,46,18,39,29,18,34,40,81,48,41,28,40,43,40,39,42,23,30,34,34,25,21,62,32,32,31,27,26,38,38,52,37,43,36,30,16,20,32,47,31,39,22,56,22,35,22,40,0,23,38,9,20,9,34,13,50,37,22,9,20,38,37,35,22,25,1
Tim Scott,28,20,22,29,28,31,35,42,48,29,47,46,46,39,55,34,41,39,33,0,49,16,30,58,40,37,44,46,22,26,45,44,26,12,22,30,29,14,23,45,21,43,26,23,34,29,29,28,18,17,23,30,31,18,26,15,19,26,12,11,7,32,29,29,18,34,31,31,43,46,34,48,28,40,26,23,15,32,26,30,20,33,16,31,13,35,0,22,22,16,16,12,19,11,33,41,26,18,13,36,22,37,23,28,0
Todd Young,45,32,28,36,42,28,40,45,46,27,41,44,53,51,59,34,41,35,43,49,0,14,20,74,48,41,41,45,24,25,46,41,30,19,27,23,32,19,34,46,24,40,35,24,34,45,39,48,34,27,36,40,44,22,44,21,25,38,27,18,16,59,36,42,20,39,26,39,47,47,37,47,41,48,22,25,23,47,34,49,34,54,17,35,23,48,0,24,36,14,22,16,24,12,39,36,27,23,19,57,33,41,28,22,0
Rand Paul,12,8,6,12,6,12,21,16,25,23,24,19,24,9,22,17,17,23,16,16,14,0,43,26,13,30,19,18,15,25,23,30,7,5,13,19,10,9,6,23,17,14,7,9,6,6,10,8,11,8,9,5,7,16,8,10,5,3,14,10,9,7,4,11,7,16,19,19,21,24,19,24,15,23,18,6,9,10,8,8,8,11,5,11,5,8,0,11,9,9,4,7,8,8,14,11,9,6,2,11,9,17,4,3,0
Mike Lee,12,9,11,9,7,16,22,20,34,31,35,21,22,19,28,24,30,36,16,30,20,43,0,46,19,38,31,40,20,33,31,59,11,6,25,29,12,9,6,27,29,23,9,12,8,9,4,11,8,7,7,6,7,12,8,12,4,5,7,7,6,9,6,15,5,14,34,31,24,29,21,30,16,29,18,10,7,10,5,7,9,14,4,8,3,10,1,14,12,11,4,10,7,5,16,14,13,12,2,7,5,20,3,6,0
Marco Rubio,48,42,36,59,0,41,45,53,70,45,66,56,65,62,67,38,58,47,60,58,74,26,46,0,54,53,90,66,36,37,74,87,35,19,37,35,37,19,30,57,33,65,46,34,35,38,35,63,47,29,43,66,41,34,49,26,26,50,33,16,20,78,45,42,25,54,36,44,54,58,46,56,45,66,35,28,20,52,37,48,42,58,22,28,16,59,1,32,40,15,25,16,27,13,50,46,26,27,25,39,38,45,28,30,0
Rob Portman,51,41,42,43,38,22,41,50,38,33,35,48,46,64,52,32,42,36,43,40,48,13,19,54,0,42,40,37,26,27,37,30,44,27,28,26,34,25,43,48,18,43,35,24,41,52,41,55,40,28,36,37,51,34,51,25,30,41,29,24,21,60,46,43,30,36,25,25,39,46,42,37,41,39,19,19,23,49,74,51,33,62,26,39,19,51,0,25,41,10,25,12,26,17,57,36,28,19,23,46,31,45,20,33,1
Steve Daines,50,24,25,37,37,40,50,47,53,42,42,48,53,50,63,44,45,57,54,37,41,30,38,53,42,0,36,43,26,31,38,39,42,17,38,39,84,17,33,57,24,40,27,24,37,34,38,38,26,21,32,25,37,30,37,26,29,28,28,36,22,39,28,26,22,34,33,58,46,59,51,64,45,43,26,24,37,43,32,36,19,51,23,39,27,43,1,36,42,13,17,14,32,13,52,33,22,14,17,42,25,59,21,27,1
John Cornyn,26,42,30,33,45,39,33,36,61,39,50,61,52,49,62,34,59,39,29,44,41,19,31,90,40,36,0,78,27,27,53,93,26,16,24,29,20,9,16,38,22,77,16,23,41,27,21,56,24,17,26,27,27,18,27,23,9,22,12,7,10,47,24,19,14,44,35,41,55,51,42,50,43,57,34,19,11,27,27,31,32,67,10,24,7,33,0,27,27,19,10,14,21,5,30,42,23,16,8,23,24,32,11,29,0
Orrin Hatch,34,45,35,32,33,27,31,41,54,40,40,58,49,45,53,31,61,40,35,46,45,18,40,66,37,43,78,0,23,24,34,62,29,14,26,32,29,15,25,46,19,59,23,25,31,42,40,53,28,17,30,28,29,26,36,28,19,21,18,16,14,52,28,28,21,37,39,53,51,46,38,45,39,51,19,18,18,30,25,37,30,61,18,25,15,30,1,22,31,20,18,11,28,11,36,36,26,20,11,32,28,34,23,27,0
Pat Toomey,16,12,16,17,21,18,25,25,33,16,29,28,27,26,34,19,23,22,20,22,24,15,20,36,26,26,27,23,0,22,36,30,20,11,19,13,17,16,16,28,20,29,18,14,21,17,15,23,15,18,14,22,18,10,20,10,15,17,11,8,7,20,13,14,10,19,22,21,28,28,25,26,20,29,12,12,9,21,21,29,10,23,8,20,7,24,0,15,17,9,12,9,14,7,21,20,14,13,11,24,15,22,10,16,0
Ron Johnson,28,10,7,7,7,20,23,25,38,30,35,25,29,24,34,33,29,28,20,26,25,25,33,37,27,31,27,24,22,0,33,39,29,8,29,25,13,10,9,34,19,29,6,13,10,13,6,10,8,10,8,9,8,9,13,7,6,8,6,6,4,8,8,9,7,20,27,25,25,32,27,31,20,30,23,12,6,13,11,11,7,19,5,16,6,10,1,18,11,14,8,8,8,4,16,17,18,10,7,11,8,22,5,8,0
Tom Cotton,26,19,21,35,30,28,49,42,64,33,68,44,77,50,57,35,47,42,36,45,46,23,31,74,37,38,53,34,36,33,0,61,25,11,26,28,34,10,23,47,24,56,23,27,37,16,20,34,28,15,21,25,29,12,27,16,15,23,13,12,12,37,18,23,16,38,29,37,43,64,38,66,35,55,36,22,14,30,32,29,19,36,13,33,8,40,0,32,25,13,13,16,22,10,40,34,16,14,13,39,19,34,20,15,1
Ted Cruz,15,22,14,12,27,29,32,26,62,45,54,39,46,33,55,33,49,39,30,44,41,30,59,87,30,39,93,62,30,39,61,0,20,4,26,28,14,7,6,42,34,48,10,17,17,12,12,33,16,9,16,24,14,11,11,18,6,14,7,5,5,28,10,12,10,32,33,43,42,46,39,48,35,54,30,19,5,17,17,16,23,28,6,15,6,19,1,18,22,17,9,14,14,2,13,31,15,14,4,19,18,31,7,8,0
Claire McCaskill,93,71,64,82,67,27,37,31,29,22,18,40,38,51,59,15,43,23,28,26,30,7,11,35,44,42,26,29,20,29,25,20,0,65,28,18,89,41,80,46,12,27,68,19,58,97,60,87,66,50,73,60,81,57,83,53,52,62,62,49,51,71,63,63,64,32,20,25,28,39,37,30,27,36,13,10,49,75,85,80,68,0,61,82,49,58,0,18,43,4,44,7,64,49,78,24,20,14,58,62,69,32,45,55,0
Thomas Carper,97,96,99,0,72,12,24,25,17,10,10,21,24,27,25,17,20,12,18,12,19,5,6,19,27,17,16,14,11,8,11,4,65,0,12,12,62,67,0,18,6,15,99,12,38,89,71,0,0,86,0,96,87,92,89,75,67,94,0,74,56,0,73,0,88,23,8,13,22,20,18,20,14,16,4,5,62,78,85,74,88,90,90,51,56,42,0,14,26,4,58,4,95,80,61,16,11,10,84,36,83,12,34,53,0
John McCain,33,20,18,22,18,22,25,25,26,26,24,27,28,25,31,30,30,28,26,22,27,13,25,37,28,38,24,26,19,29,26,26,28,12,0,25,26,12,16,26,13,31,22,14,19,22,15,27,16,14,22,20,16,10,27,18,13,20,19,14,10,27,16,17,11,19,53,22,21,34,25,28,20,25,16,6,14,22,16,18,20,27,12,16,8,21,1,19,23,10,10,8,14,10,26,22,13,12,15,22,17,25,5,11,1
Michael Enzi,19,13,11,11,13,30,33,36,36,31,30,31,37,28,36,59,33,42,26,30,23,19,29,35,26,39,29,32,13,25,28,28,18,12,25,0,21,8,18,37,18,25,9,14,22,14,17,17,14,12,11,8,14,11,19,8,9,14,10,11,9,12,10,9,7,24,28,38,44,39,30,37,20,30,19,17,9,9,10,17,12,23,7,25,7,17,0,22,14,12,5,12,12,3,21,22,22,12,9,24,8,31,11,14,0
Jon Tester,0,70,68,0,77,25,54,37,31,18,28,62,61,57,48,25,34,42,53,29,32,10,12,37,34,84,20,29,17,13,34,14,89,62,26,21,0,52,83,47,12,42,93,20,76,93,85,0,76,59,85,71,94,72,97,51,59,72,86,83,67,100,71,73,55,28,16,48,31,48,33,55,39,39,13,18,71,90,0,93,68,0,75,99,60,67,0,29,60,5,43,7,86,56,0,24,13,10,55,72,76,41,49,56,0
Brian Schatz,95,85,96,0,62,21,25,15,16,9,10,19,22,22,19,12,10,11,23,14,19,9,9,19,25,17,9,15,16,10,10,7,41,67,12,8,52,0,81,11,8,18,100,13,31,83,61,0,0,80,0,80,62,88,89,80,62,87,0,80,68,87,69,0,83,19,9,15,13,26,15,16,28,16,3,8,63,76,84,68,88,77,81,45,48,32,0,11,33,4,51,5,0,90,64,18,12,13,68,31,74,13,21,48,0
Tammy Duckworth,0,0,0,0,89,19,33,33,32,10,18,36,47,43,43,15,26,27,34,23,34,6,6,30,43,33,16,25,16,9,23,6,80,0,16,18,83,81,0,29,6,28,0,21,54,0,95,0,0,0,0,0,0,0,0,0,85,0,0,93,0,0,0,0,0,23,13,26,28,36,31,33,32,27,9,12,85,0,0,0,0,0,0,70,97,59,0,22,45,5,75,4,0,0,84,26,16,9,0,64,0,27,47,60,1
Joni Ernst,46,26,33,33,34,34,55,45,57,44,49,46,57,53,60,39,68,41,46,45,46,23,27,57,48,57,38,46,28,34,47,42,46,18,26,37,47,11,29,0,28,49,24,24,35,34,35,40,24,26,34,23,40,22,37,25,20,24,18,21,21,44,22,31,18,35,27,36,54,53,57,55,38,46,25,27,22,36,33,36,22,53,16,43,26,43,0,26,32,16,17,14,29,11,49,31,19,16,20,50,26,53,25,18,0
Ben Sasse,6,2,4,3,8,14,25,18,28,24,26,16,24,10,27,18,20,25,18,21,24,17,29,33,18,24,22,19,20,19,24,34,12,6,13,18,12,8,6,28,0,17,7,9,10,7,10,10,6,4,5,10,6,6,7,1,5,7,2,2,3,15,7,5,3,15,19,21,26,24,23,29,15,26,15,12,2,8,4,8,6,13,2,11,4,9,0,9,6,8,6,8,2,1,9,14,10,12,1,12,4,23,5,9,0
Thom Tillis,44,48,36,43,38,34,44,41,54,37,48,61,60,50,66,36,64,37,39,43,40,14,23,65,43,40,77,59,29,29,56,48,27,15,31,25,42,18,28,49,17,0,36,44,46,32,30,56,31,24,44,30,35,25,41,31,20,24,24,15,24,59,33,27,20,45,30,39,42,52,42,57,43,55,27,21,19,44,44,42,31,71,19,33,15,42,1,28,37,13,20,13,34,16,48,39,20,21,20,41,29,40,22,25,1
Chris Van Hollen,0,0,0,0,97,15,37,30,27,10,16,37,46,42,37,15,27,20,29,26,35,7,9,46,35,27,16,23,18,6,23,10,68,99,22,9,93,100,0,24,7,36,0,20,54,0,97,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,27,14,28,24,35,21,35,31,31,8,15,91,0,0,0,0,0,0,63,93,72,0,20,45,4,79,5,0,0,95,21,13,15,0,59,0,26,51,68,0
Richard Burr,19,19,24,24,30,17,24,21,24,15,19,26,23,29,32,18,25,20,18,23,24,9,12,34,24,24,23,25,14,13,27,17,19,12,14,14,20,13,21,24,9,44,20,0,28,21,19,24,18,12,23,15,28,15,24,13,14,15,16,13,12,31,16,18,15,18,14,18,29,27,20,29,21,22,13,10,14,28,27,34,18,39,14,15,8,29,0,17,17,10,13,8,18,12,30,23,15,12,8,24,17,21,15,16,0
Joe Manchin,77,57,56,63,68,25,43,32,37,16,28,51,51,86,47,29,37,35,34,34,34,6,8,35,41,37,41,31,21,10,37,17,58,38,19,22,76,31,54,35,10,46,54,28,0,69,50,72,53,37,49,51,56,38,68,29,40,49,47,39,35,62,60,56,37,34,19,38,31,45,32,45,44,39,20,14,43,62,77,74,50,85,41,71,39,59,0,19,42,8,28,9,49,34,77,30,22,16,38,66,45,35,38,55,1
Michael Bennet,0,0,0,0,0,18,33,33,26,11,16,46,38,64,38,18,33,17,40,29,45,6,9,38,52,34,27,42,17,13,16,12,97,89,22,14,93,83,0,34,7,32,0,21,69,0,90,0,0,0,0,0,0,0,0,0,92,0,0,98,99,0,0,0,0,29,16,27,27,41,26,35,28,34,7,12,85,0,0,0,0,0,0,71,84,81,0,19,49,4,70,5,0,0,0,33,20,13,0,57,0,32,47,68,0
Richard Blumenthal,0,100,94,0,79,18,39,35,25,12,20,49,41,50,47,16,33,34,81,29,39,10,4,35,41,38,21,40,15,6,20,12,60,71,15,17,85,61,95,35,10,30,97,19,50,90,0,0,0,82,0,93,92,0,99,89,71,0,0,80,80,0,81,0,93,35,19,41,28,40,20,31,26,29,10,18,88,88,87,99,91,0,87,64,65,56,0,21,45,5,62,4,95,73,95,30,21,14,70,53,91,29,43,59,1
Edward Markey,0,0,0,0,0,27,55,41,34,16,25,64,56,65,61,19,62,23,48,28,48,8,11,63,55,38,56,53,23,10,34,33,87,0,27,17,0,0,0,40,10,56,0,24,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,18,34,39,60,34,45,42,50,10,19,0,0,0,0,0,0,0,72,0,93,0,25,60,7,95,7,0,0,0,45,25,17,0,70,0,35,56,64,0
Christopher Murphy,0,0,0,0,0,17,30,27,27,9,17,30,41,41,39,13,29,22,41,18,34,11,8,47,40,26,24,28,15,8,28,16,66,0,16,14,76,0,0,24,6,31,0,18,53,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,29,15,23,26,33,19,31,28,39,7,14,95,0,0,0,0,0,0,62,96,74,0,21,57,6,84,3,0,0,0,28,14,12,0,53,0,21,43,56,0
